Sucursal,NombreSucursal,SucursalCP,Delegacion,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SCORE_CLIENTE,SUMA_SALDOS_TOTAL,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
4,LA VILLA,7810,Gustavo A. Madero,Rechazada,Rechazado,MALO,0,,,18582,0,Alto,0,93,0,27,Familiares,Posgrado
4,LA VILLA,7810,Gustavo A. Madero,Rechazada,Rechazado,MALO,0,,,18860,0,Alto,0,94,0,30,Renta,Licenciatura
7,PLAZA GABRIEL MANCERA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,23037,0,Alto,0,96,0,32,Propia,Preparatoria
7,PLAZA GABRIEL MANCERA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,20304,0,Alto,0,98,0,33,Renta,Licenciatura
7796,AEROPUERTO T2,15620,Venustiano Carranza,Rechazada,Rechazado,MALO,0,,,5150,0,Alto,0,90,0,25,Familiares,Preparatoria
7796,AEROPUERTO T2,15620,Venustiano Carranza,Rechazada,Rechazado,MALO,0,,,5232,0,Alto,0,96,0,25,Familiares,Posgrado
7796,AEROPUERTO T2,15620,Venustiano Carranza,En_proceso,Rechazado,MALO,0,,,17903,0,Alto,0,101,0,29,Familiares,Posgrado
7796,AEROPUERTO T2,15620,Venustiano Carranza,Rechazada,Rechazado,MALO,0,,,20886,0,Alto,0,91,0,36,Familiares,Posgrado
9,INSURGENTES PARROQUIA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,19587,0,Alto,0,98,1,32,Propia,Licenciatura
10,CORUGNA,8200,Iztacalco,Aprobada,Aprobado,BUENO,9899,11681,-0.18,17353,10800,Bajo,1.18,222,0,32,Familiares,Posgrado
11,POLANCO,11560,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,19907,0,Alto,0,93,0,29,Familiares,Licenciatura
13,REFORMA COLON,6470,Cuauhtemoc,Aprobada,Aprobado,REGULAR,21500,7525,0.65,18524,0,Mínimo,0.35,212,0,29,Propia,Posgrado
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,18192,0,Alto,0,89,0,30,Propia,Preparatoria
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,19492,0,Alto,0,97,0,31,Familiares,Posgrado
25,VALLEJO,2300,Azcapotzalco,Rechazada,Rechazado,MALO,0,,,18693,0,Alto,0,95,0,27,Hipoteca,Preparatoria
25,VALLEJO,2300,Azcapotzalco,Aprobada,Aprobado,REGULAR,46999,21150,0.55,16519,18700,Medio ,0.45,195,92815,33,Hipoteca,Preparatoria
35,PLAZA SANTANDER,6500,Cuauhtemoc,Aprobada,Aprobado,REGULAR,2999,540,0.82,17964,0,Mínimo,0.18,208,0,26,Renta,Preparatoria
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Rechazada,Rechazado,MALO,0,,,4746,0,Alto,0,94,0,25,Propia,Preparatoria
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Rechazada,Rechazado,MALO,0,,,28259,0,Alto,0,91,0,36,Hipoteca,Posgrado
41,REFORMA DIANA,6600,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,5209,0,Alto,0,96,0,25,Propia,Posgrado
45,AZCAPOTZALCO,2070,Azcapotzalco,Rechazada,Rechazado,MALO,0,,,15388,0,Alto,0,99,73516,31,Hipoteca,Posgrado
64,FLORIDA COYOACAN,1030,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,19440,0,Alto,0,92,0,27,Hipoteca,Preparatoria
64,FLORIDA COYOACAN,1030,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,21285,0,Alto,0,89,0,32,Renta,Licenciatura
64,FLORIDA COYOACAN,1030,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,25162,0,Alto,0,93,0,34,Renta,Preparatoria
64,FLORIDA COYOACAN,1030,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,24637,0,Alto,0,93,0,36,Familiares,Posgrado
487,COLONIA DEL VALLE,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,7036,15,Alto,0,101,0,25,Propia,Posgrado
487,COLONIA DEL VALLE,3100,Benito Juarez,Aprobada,Aprobado,BUENO,9899,6632,0.33,12271,0,Mínimo,0.67,252,0,25,Renta,Posgrado
487,COLONIA DEL VALLE,3100,Benito Juarez,Aprobada,Aprobado,BUENO,2999,2909,0.03,22436,8400,Bajo,0.97,244,0,34,Hipoteca,Posgrado
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,BUENO,56000,57120,-0.02,11130,75300,Bajo,1.02,226,55226,25,Hipoteca,Posgrado
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Pendiente,Pre-Aprobado,MALO,1,,,18452,40004,Alto,0,124,0,27,Hipoteca,Licenciatura
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Rechazada,Rechazado,MALO,0,,,15563,0,Alto,0,98,14046,29,Renta,Posgrado
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Pendiente,Pre-Aprobado,MALO,1,,,20269,96000,Alto,0,144,0,29,Propia,Preparatoria
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Rechazada,Rechazado,MALO,0,,,21229,0,Alto,0,93,143936,34,Propia,Posgrado
5751,CERRO DE LA ESTRELLA,9360,Iztapalapa,Rechazada,Rechazado,MALO,0,,,14599,0,Alto,0,94,0,26,Hipoteca,Preparatoria
5751,CERRO DE LA ESTRELLA,9360,Iztapalapa,Rechazada,Rechazado,MALO,0,,,22157,0,Alto,0,89,0,31,Familiares,Licenciatura
5751,CERRO DE LA ESTRELLA,9360,Iztapalapa,Rechazada,Rechazado,MALO,0,,,23330,0,Alto,0,94,0,34,Renta,Licenciatura
5751,CERRO DE LA ESTRELLA,9360,Iztapalapa,Rechazada,Rechazado,MALO,0,,,28514,0,Alto,0,98,0,36,Propia,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,15480,0,Alto,0,95,0,26,Hipoteca,Licenciatura
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,20806,0,Alto,0,92,0,29,Familiares,Licenciatura
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,16241,0,Alto,0,92,0,33,Propia,Licenciatura
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,22330,0,Alto,0,96,0,33,Propia,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,En_proceso,Rechazado,MALO,0,,,26743,0,Alto,0,100,0,36,Renta,Preparatoria
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Aprobada,Aprobado,BUENO,15000,14400,0.04,17783,0,Bajo,0.96,191,0,26,Hipoteca,Preparatoria
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Aprobada,Aprobado,BUENO,7000,5040,0.28,15149,0,Bajo,0.72,197,0,28,Renta,Preparatoria
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Rechazada,Rechazado,MALO,0,,,20906,0,Alto,0,101,0,30,Propia,Posgrado
223,LAGO ALBERTO,11320,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,14411,0,Alto,0,93,0,27,Familiares,Secundaria
223,LAGO ALBERTO,11320,Miguel Hidalgo,Aprobada,Aprobado,BUENO,275000,181500,0.34,28137,200000,Mínimo,0.66,226,0,36,Propia,Licenciatura
500,GANTE,6000,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,18212,0,Alto,0,96,0,29,Hipoteca,Licenciatura
228,ROJO GOMEZ,9300,Iztapalapa,Rechazada,Rechazado,MALO,0,,,19455,0,Alto,0,99,0,28,Hipoteca,Posgrado
7997,ALAMEDA,6040,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,17763,53600,Alto,0,100,1903,28,Familiares,Preparatoria
7768,PLAZA ORIENTE,7420,Gustavo A. Madero,Rechazada,Rechazado,MALO,0,,,15667,8500,Alto,0,92,5253,32,Hipoteca,Licenciatura
479,SAN FERNANDO,14050,Tlalpan,Rechazada,Rechazado,MALO,0,,,18342,0,Alto,0,98,0,27,Familiares,Preparatoria
